Timestamp,Kategori Anda,Kategori Umur Anda,CaRek Pilihan,Alasan Memilih CaRek,Harapan Anda
9/1/2019 15:51:17,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,Itb makin maju
9/1/2019 15:58:46,Dosen,> 40 th,Acep Purqon (FMIPA-FI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,
9/1/2019 16:02:59,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),Karakter kepemimpinan dan leadership,
9/1/2019 16:03:03,Alumni,< 25 th,Acep Purqon (FMIPA-FI),Kecerdasan dan keberanian utk kemajuan ITB,Kuliah-life-balance diterapkan
9/1/2019 16:05:55,Alumni,> 40 th,Benyamin Sapiie (FITB),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,"ITB menjadi lembaga pendidikan Teknik yang mampu membentuk mahasiswanya sebagai Sarjana Teknik yang mandiri, nasionalis dan berkepribadian "
9/1/2019 16:11:39,Alumni,25 - 40 th,Sigit Puji Santosa (FTMD),Sesuai dengan kriteria kekinian (Rektor 4.0),ITB mampu beradaptasi dengan perkembangan zaman
9/1/2019 16:13:48,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,Semoga tetap memperdulikan mahasiswa seperti biasanya demi kesejahteraan banyak warga
9/1/2019 16:15:53,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),Kecerdasan dan keberanian utk kemajuan ITB,Beliau terpilih menjadi rektor ITB dan ITB semakin maju serta semakin menjadi yang terbaik
9/1/2019 16:16:14,Dosen,25 - 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),Terpilih menjadi Rektor ITB
9/1/2019 16:17:02,Alumni,> 40 th,Bambang Riyanto T (STEI),Keberhasilan dan prestasi,
9/1/2019 16:17:56,Alumni,25 - 40 th,Bambang Riyanto T (STEI),Kapabilitas ybs utk memajukan riset dan industri RI,ITB menjadi trend setter pengembangan institusi pendidikan di Indonesia.
9/1/2019 16:21:32,Dosen,25 - 40 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,
9/1/2019 16:23:58,Umum,> 40 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,Terobosan yang 'di luar kotak'
